Pair_ID	Image # (Latents only)	LQMetric OverallQuality	LQMetric Est VID	LQMetric Est VCMP	LQAS Overall Clarity (Auto)
M001001	L_001	64	96	99	40
M001036	L_001	64	96	99	40
M002032	L_002	66	96	99	46
M002063	L_002	66	96	99	46
M003061	L_003	45	90	98	30
M003064	L_003	45	90	98	30
M004010	L_004	0	0	0	18
M004043	L_004	0	0	0	18
M005024	L_005	64	96	99	34
M005038	L_005	64	96	99	34
M006007	L_006	67	97	99	40
M006039	L_006	67	97	99	40
N006040	L_006	67	97	99	40
N006443	L_006	67	97	99	40
N006444	L_006	67	97	99	40
M007007	L_007	0	0	0	10
M007039	L_007	0	0	0	10
M008008	L_008	66	96	99	32
M008040	L_008	66	96	99	32
N008025	L_008	66	96	99	32
N008027	L_008	66	96	99	32
M009008	L_009	13	59	93	11
M009040	L_009	13	59	93	11
M010003	L_010	86	99	100	60
M010021	L_010	86	99	100	60
N010479	L_010	86	99	100	60
M011013	L_011	99	100	100	81
M011048	L_011	99	100	100	81
M012033	L_012	67	97	99	49
M012053	L_012	67	97	99	49
M013004	L_013	50	91	99	30
M013022	L_013	50	91	99	30
N013470	L_013	50	91	99	30
M014035	L_014	45	90	98	32
M014054	L_014	45	90	98	32
N014401	L_014	45	90	98	32
N014402	L_014	45	90	98	32
M015026	L_015	72	98	99	49
M015042	L_015	72	98	99	49
M016015	L_016	6	54	83	15
M016049	L_016	6	54	83	15
M017075	L_017	11	59	92	12
M017084	L_017	11	59	92	12
M018067	L_018	7	57	91	14
M018078	L_018	7	57	91	14
M019006	L_019	91	100	100	63
M019023	L_019	91	100	100	63
N019459	L_019	91	100	100	63
M020006	L_020	42	85	98	26
M020023	L_020	42	85	98	26
N020459	L_020	42	85	98	26
M021061	L_021	0	0	0	12
M021064	L_021	0	0	0	12
M022024	L_022	12	59	92	13
M022038	L_022	12	59	92	13
N022460	L_022	12	59	92	13
M023057	L_023	58	96	99	32
M023080	L_023	58	96	99	32
M024072	L_024	28	78	96	10
M024083	L_024	28	78	96	10
M025026	L_025	32	79	96	21
M025042	L_025	32	79	96	21
N025403	L_025	32	79	96	21
M026075	L_026	32	79	96	10
M026084	L_026	32	79	96	10
M027001	L_027	49	90	98	26
M027036	L_027	49	90	98	26
N027480	L_027	49	90	98	26
M028010	L_028	99	100	100	81
M028043	L_028	99	100	100	81
M029032	L_029	53	91	99	46
M029063	L_029	53	91	99	46
N030028	L_030	46	90	98	22
M031065	L_031	16	63	93	11
M031079	L_031	16	63	93	11
M032002	L_032	24	70	94	10
M032020	L_032	24	70	94	10
M033002	L_033	46	90	98	23
M033020	L_033	46	90	98	23
N033473	L_033	46	90	98	23
M034011	L_034	70	98	99	41
M034044	L_034	70	98	99	41
N035010	L_035	0	0	0	31
M036050	L_036	8	57	92	16
M036070	L_036	8	57	92	16
N036419	L_036	8	57	92	16
M037011	L_037	83	99	100	55
M037044	L_037	83	99	100	55
N037440	L_037	83	99	100	55
M038050	L_038	27	77	96	11
M038070	L_038	27	77	96	11
M039057	L_039	9	58	92	13
M039080	L_039	9	58	92	13
N039426	L_039	9	58	92	13
M040029	L_040	26	77	96	30
M040045	L_040	26	77	96	30
N040384	L_040	26	77	96	30
N040385	L_040	26	77	96	30
N041047	L_041	0	0	0	24
M042016	L_042	55	95	99	36
M042051	L_042	55	95	99	36
N043052	L_043	11	59	92	57
N044052	L_044	8	57	92	48
M045029	L_045	94	100	100	63
M045045	L_045	94	100	100	63
N046030	L_046	70	98	99	36
M047016	L_047	96	100	100	69
M047051	L_047	96	100	100	69
N047411	L_047	96	100	100	69
M048058	L_048	14	59	93	22
M048081	L_048	14	59	93	22
M049012	L_049	14	59	93	21
M049046	L_049	14	59	93	21
M050058	L_050	0	0	0	10
M050081	L_050	0	0	0	10
M051012	L_051	72	98	99	39
M051046	L_051	72	98	99	39
N051422	L_051	72	98	99	39
N052017	L_052	74	98	100	46
N052071	L_052	74	98	100	46
N053017	L_053	75	98	100	46
N053071	L_053	75	98	100	46
N053400	L_053	75	98	100	46
M054069	L_054	18	64	93	12
M054076	L_054	18	64	93	12
N054456	L_054	18	64	93	12
M055069	L_055	17	64	93	11
M055076	L_055	17	64	93	11
M056030	L_056	14	63	93	24
M056047	L_056	14	63	93	24
M057030	L_057	50	91	99	25
M057047	L_057	50	91	99	25
N057412	L_057	50	91	99	25
N057413	L_057	50	91	99	25
N058045	L_058	62	96	99	31
M059072	L_059	0	0	0	10
M059083	L_059	0	0	0	10
N059453	L_059	0	0	0	10
M060003	L_060	89	100	100	57
M060021	L_060	89	100	100	57
M061009	L_061	43	86	98	33
M061041	L_061	43	86	98	33
M062013	L_062	42	86	98	20
M062048	L_062	42	86	98	20
M063033	L_063	52	91	99	26
M063053	L_063	52	91	99	26
N063410	L_063	52	91	99	26
M064066	L_064	21	65	93	11
M064082	L_064	21	65	93	11
N064451	L_064	21	65	93	11
M065066	L_065	21	65	93	11
N065452	L_065	21	65	93	11
M066004	L_066	54	92	99	28
M066022	L_066	54	92	99	28
N066469	L_066	54	92	99	28
N066471	L_066	54	92	99	28
M067035	L_067	40	79	97	32
M067054	L_067	40	79	97	32
M068014	L_068	43	86	98	22
M068031	L_068	43	86	98	22
N068466	L_068	43	86	98	22
M069014	L_069	45	90	98	23
M069031	L_069	45	90	98	23
M070056	L_070	49	90	98	33
M070077	L_070	49	90	98	33
M071015	L_071	15	63	93	12
M071049	L_071	15	63	93	12
N071434	L_071	15	63	93	12
N072055	L_072	45	90	98	57
N073018	L_073	14	60	93	11
M074059	L_074	14	59	93	12
M074062	L_074	14	59	93	12
M075059	L_075	0	0	0	10
M075062	L_075	0	0	0	10
N076034	L_076	24	70	94	10
N077034	L_077	25	76	96	10
N078034	L_078	23	65	93	10
N079034	L_079	0	0	0	10
M080067	L_080	17	64	93	11
M080078	L_080	17	64	93	11
M081019	L_081	42	85	98	23
M081074	L_081	42	85	98	23
N081429	L_081	42	85	98	23
M082063	L_082	53	91	99	31
N082376	L_082	53	91	99	31
M083065	L_083	0	0	0	16
M084060	L_084	0	0	0	16
M084068	L_084	0	0	0	16
M085060	L_085	0	0	0	11
M085068	L_085	0	0	0	11
M086009	L_086	60	96	99	35
M086041	L_086	60	96	99	35
N086436	L_086	60	96	99	35
M087056	L_087	9	58	92	12
M087077	L_087	9	58	92	12
M088073	L_088	0	0	0	11
M088085	L_088	0	0	0	11
M089073	L_089	21	65	93	11
M089085	L_089	21	65	93	11
M090005	L_090	0	0	0	10
M090037	L_090	0	0	0	10
M091005	L_091	0	0	0	10
M091037	L_091	0	0	0	10
M092019	L_092	0	0	0	10
M092074	L_092	0	0	0	10
M093145	L_093	99	100	100	82
N093420	L_093	99	100	100	82
N093421	L_093	99	100	100	82
M094132	L_094	58	96	99	37
M094144	L_094	58	96	99	37
M095132	L_095	11	59	92	22
M095144	L_095	11	59	92	22
N095394	L_095	11	59	92	22
