1.Female	1.Male	2.Age	3.HS	3.AD	3.BD	3.GD	4.ForeignPrivate	4.Federal	4.State	4.Local	4.Private	5.Nation	6.UNK	6.No	6.Yes	7.10pYears	8.None	8.<6	8.6-12MO	8.1+YRS	9.LatentYears	10.Formal	10.Informal	10.Limited	11.<6	11.6-12MO	11.1+YRS	12.Agency-NonEmployer	12.Employer	12.Other	12.Private	13.Accredited_Employer	13.IAI-Latent	13.IAI-TenPrint	13.NA-Employer	13.National	14.No	14.Never	14.Yes	15.No	15.Never	15.Yes	16.No	16.Yes-Both	16.Y-Internal	16.Yes-Outside	17.Current	17.No	17.Previously	18.No	18.Previously	18.Yes	19.BeginYear	20.No	20.Yes-Previously	20.Yes-ThisYear	21.No	21.Yes	22.NA	22.<10	22.10-25%	22.25-50%	22.50-75%	22.75-100%	23.NA	23.0%	23.1-30%	23.30-60%	23.60-99%	23.100%	24.No	24.Yes-Reported	24.Yes-Proficiency	24.Yes-Verification	25.No	25.Yes-Reported	25.Yes-Proficiency	25.Yes-Verification	26.No	26.Yes	27.No	27.Yes	28.Discouraged	28.Accepted	28.No	29.Standard	29.Request	29.NoValue	29.OfValue	30.Never	30.Request	30.Rarely	30.Often	31.NotIndividualization	31.NoFinger	31.NoFrictionRidge	31.NotExemplar	31.NotUsed
	Y	55		Y							Y	Government Contractor	Y			24			Y		12	Y					Y		Y			Y							Y			Y	Y				Y					Y	1998		Y		Y							Y						Y	Y				Y					Y	Y			Y				Y					Y				Y	
	Y	37			Y				Y						Y	.	Y				6	Y	Y	Y			Y	Y	Y	Y	Y		Y						Y			Y		Y			Y					Y	2003			Y	Y							Y			Y				Y				Y					Y	Y				Y			Y		Y								Y
Y		27				Y		Y							Y	.	Y				2.5	Y					Y		Y			Y							Y			Y	Y				Y					Y	2008	Y			Y					Y					Y				Y				Y					Y	Y				Y			Y					Y			Y		
Y		58	Y					Y							Y	7			Y		29			Y	Y				Y				Y						Y			Y		Y			Y					Y	1980			Y	Y						Y			Y					Y				Y					Y	Y		Y					Y				Y						Y
Y		39			Y			Y							Y	.	Y				13.5	Y	Y	Y			Y		Y				Y						Y			Y	Y				Y					Y	1994		Y		Y					Y							Y		Y				Y					Y	Y			Y				Y					Y			Y		
	Y	48		Y					Y						Y	0	Y				1.5	Y	Y	Y			Y		Y									Y			Y				Y		Y			Y			.	Y				Y	Y						Y						Y				Y					Y		Y		Y					Y				Y			Y		
Y		40				Y		Y							Y	0.5		Y			11		Y			Y			Y				Y						Y			Y				Y	Y					Y	1999		Y		Y					Y					Y				Y							Y		Y	Y			Y				Y					Y		Y			
Y		33				Y		Y							Y	0		Y			7.5	Y					Y		Y			Y							Y			Y		Y			Y					Y	2003			Y	Y						Y				Y				Y				Y					Y	Y				Y			Y					Y					Y
Y		27			Y				Y						Y	.	Y				5	Y					Y		Y									Y				Y				Y	Y					Y	2006			Y	Y						Y				Y				Y				Y					Y	Y			Y				Y					Y		Y			
Y		33				Y				Y				Y		0	Y				4	Y	Y	Y			Y	Y	Y	Y	Y							Y			Y					Y	Y					Y	2007	Y			Y				Y					Y					Y				Y					Y	Y				Y			Y				Y						Y
